tags: sogang sogang2 sogang2a sogang2a3 reading-speaking
스트레칭하다|to stretch
씻다|to wash (one's body)
인사하다|to greet/say hello
깨끗하다|to be clean
중요하다|to be important
손|hand
여러 가지|various/diverse/many kinds of
언제나|all the time
자주|often
항상|always
계단으로 올라가다|to go up the stairs
엘이베이터를 타다|to take an elevator
이를 닦다|to brush one's teeth
다녀오겠습니다|i'll be back (polite)
다녀왔습니다|i'm home (polite)
안녕히 주무세요|good night (polite)
안녕히 주무셨어요?|did you sleep well? (polite)
잘 먹겠습니다|it looks delicious
잘 먹었습니다|that was delicious
