tags: sogang sogang2 sogang2a sogang2a7 dialogues
과일|fruit
당근 (야채)|carrot
딸기 (과일)|strawberry
마리|counter for fish/animals
생선|fish
반바지 (입다)|shorts
반팔 티셔츠 (입다)|short-sleeved t-shirt
배 (과일)|pear
손님|customer
스웨터 (입다)|sweater
아줌마|title for middle-aged woman
야채|vegetable
오이 (야채)|cucumber
오징어|squid
점원|salesperson
굽이 높다|high-heeled
(-한테) 잘 어울리다|to suit (a person)
무슨 색으로 보여 드릴까요?|what colour shall I show you?
뭐 찾으세요?|what are you looking for?
사이즈가 어떻게 되세요?|what size do you wear?
얼마나 드릴까요?|how many/much should I give you?
이거 어떠세요?|how about this one?/how do you like this one?
이걸로 주세요|please give me this one
이쪽으로 오세요|please come this way
입어 봐도 돼요|may I try this on?
좀 더 보고 올게요|I'm going to look around a little more and come back
