tags: sogang sogang2 sogang2 sogang2b3 reading-speaking
계산하다|to pay
세일하다|to be on (bargain) sale
세차하다|to wash a car
지나가다|to pass by
팔다|to sell
느리다|to be slow
더럽다|to be dirty
비슷하다|to be similar
속상하다|to be upset/distressed
이/가 필요없다|to be unnecessary
가지고 나오다|to bring along (something)
가지고 다니다|to carry (something around)
성적이 나쁘다|to make a poor grade at school
시험에 나오다|to be asked on the test
시험을 보다|to take an exam
10만 원짜리|thing worth 100,000 won
오랜만에|after a long time
운이 없다|to be unlucky
줄에 서다|to stand in line
버스가 지나가요|a bus passes by
