tags: sogang sogang2 2b 2b9 classroom
수도 [명사]|capital (city) [noun]
자음 [명사]|consonant [noun]
받침 [명사]|the final consonant of a syllable block (the final consonant of 일 is ㄹ) [noun]
모음 [명사]|vowel [noun]
옷을 벗다 [동사]|to undress [verb]
충전하다 [동사]|to charge/recharge [verb]
눈을 감다|to close one's eyes
잠옷으로 갈아입다|to change into pajamas
기지개를 켜다|to stretch (idiom; grow and stretch the spine)
하품을 하다|to yawn
평소에|in regular days/at regular times/usually
아무리|no matter how
헤어지다|to part/to breakup
그냥| just
미래|future (tense)
현제|present (tense)
과거|past (tense)
풀다|to solve
상황 [명사]|situation [noun]
꽃병 [명사]|flower vase [noun]
양말 [명사]|socks [noun]
침대 [명사]|bed [noun]
창문 [명사]|window [noun]
면도하다 [동사]|to save [verb]
거울을 보다 [동사]|to check the mirror [verb]
뜨겁다 [형용사]|to be hot (for objects) [adj]
차다/차갑다 [형용사]|to be cold (for objects) [adj]
귀엽다 [형용사]|to be cute [adj]
좁다 [형용사]|to be narrow [adj]
맛집 [명사]|(a delicious) restaurant [noun]
호수 [명사]|lake [noun]
반지 [명사]|ring [noun]
금 [명사]|gold [noun]
다양하다 [동사]|to vary [verb]
짜다 (맛) [형용사]|to be salty [adj]
