tags: sogang sogang3 sogang3a sogang3a1 reading-speaking
국적 [명사]|nationality [명사]
꿈 [명사]|a dream [명사]
미팅 [명사]|a blind date (in a group) [명사]
미팅하다 [동사]|to have a blind date (in a group) [명사]
이것저것 [명사]|this and/or that, one thing and/or another [명사]
이웃 [명사]|a neighbour [명사]
자기 [명사]|oneself [명사]
평일 [명사]|weekdays [명사]
해외 [명사]|overseas [명사]
해외 출장 [명사]|an overseas business trip [명사]
활동 [명사]|activity [명사]
활동하다 [동사]|to take a an active part (in) [동사]
(-에) 들어오다 [동사]|to enter (into) [동사]
회사에 들어오다 [동사]|to enter a company (as a new employee) [동사]
함께 [부사]|together [부사]
신문 기자 [명사]|a newspaper reporter, (a journalist) [명사]
