tags: sogang sogang3 sogang3a sogang3a2 listening-speaking
입구 [명사]|an entrance [명사]
(-이/가) 닫히다 [동사]|to be closed (passive) [동사]
(-이/가) 지나다 [동사]|to be overdue [동사]
반납일이 지나다 [동사]|to pass the due date [동사]
(-이/가) (-에게) 혼나다 [동사]|to get scolded [동사]
경비 아저씨 [기타/표현]|a guard (used to address or refer to security guards, who are usually middle- aged men in Korea) [기타/표현]
놓고 나오다 [기타/표현]|to put (something) (somewhere) and leave it [기타/표현]
사실은 [기타/표현]|actually, in fact [기타/표현]
주의 사항 [기타/표현]|points to be careful of [기타/표현]
그런 게 있어? [기타/표현]|Does such a thing exist? [기타/표현]
당연하지! [기타/표현]| Of course! [기타/표현]
