tags: sogang sogang3 sogang3a sogang3a2 reading-speaking
언어 [명사]|a language [명사]
자신감 [명사]|self-confidence [명사]
자신감이 생기다 [동사]|to gain self-confidence [동사]
환경 [명사]|environment, surroundings [명사]
경험하다 [동사]|to experience [동사]
느끼다 [동사]|to feel [동사]
느낀 점 [명사]|what one felt [명사]
(-이/가) 늘다 [동사]|to improve [동사]
한국어가 늘다 [동사]|to improve one’s Korean proficiency [동사]
(-에) 적응하다 [동사]|to adapt [동사]
해결하다 [동사]|to solve(a problem) [동사]
새롭다 [형영사]|to be new, unfamiliar [형영사]
익숙하다 [형영사]|to be familiar (with) [형영사]
점점 [부사]|gradually [부사]
한국 사람이 다 됐대요 [기타/표현]|They say I've become like a Korean person [기타/표현]
