tags: sogang sogang3 sogang3a sogang3a2
건물 [명사]|a building [명사]
강의실 [명사]|a lecture room, a classroom [명사]
멀티미디어실 [명사]|a multimedia room [명사]
보건실 [명사]|a school infirmary [명사]
컴퓨터실 [명사]|a computer lab [명사]
탁구장 [명사]|a table tennis room [명사]
과 (곳) [명사]|department [명사]
교환 학생 [명사]|an exchange student [명사]
보고서 [명사]|a report, a paper [명사]
학생증 [명사]|a student ID card [명사]
학점 [명사]|academic credits, grades [명사]
후배 [명사]|a junior [명사]
동아리 [명사]|a club where people with the same interests gather together [명사]
가입하다 [동사]|to join, to become a member of [동사]
신청하다 [동사]|to apply for [동사]
신청서 [명사]|an application form [명사]
모이다 [동사]|to gather, to get together [동사]
모임 [명사]|a gathering [명사]
엠티 [명사]|Membership Training (friendship-building excursion for members of a club) [명사]
도서관 [명사]|a library [명사]
대출 [명사]|lending [명사]
반납 [명사]|return [명사]
반납하다 [동사]|to return [동사]
반납일 [명사]|the return date [명사]
연체료를 내다 [동사]|to pay a late fee [동사]
이용 규칙 [명사]|terms of use [명사]
규칙을 지키다 [동사]|to follow the rules [동사]
