tags: sogang sogang3 sogang3a sogang3a3 listening-speaking
점 [명사]|point [명사]
장단점 [명사]|good point and bad point, strong point and weak point [명사]
힘든 점 [명사]|a point of difficulty [명사]
구하다 [동사]|to look for, seek [동사]
제안하다 [동사]|to suggest, propose [동사]
불친절하다 [형용사]|to be unfriendly [형용사]
지저분하다 [형용사]|to be messy, disorderly [형용사]
먼저 [부사]|first, before anything else [부사]
반씩 내다 [기타/표현]|to pay fifty—fifty (percentage) [기타/표현]
그래그래 [기타/표현]|Yes, yes [기타/표현]
깜짝이야 [기타/표현]|What a surprise [기타/표현]
뭘 그렇게 열심히 보고 있어? [기타/표현]|What are you looking at so carefully? [기타/표현]
우리 이렇게 하면 어떨까? [기타/표현]|How about if we do this? [기타/표현]
