tags: sogang sogang3 sogang3a sogang3a3
아파트 [명사]|an apartment [명사]
기숙사 [명사]|a dormitory [명사]
원룸 [명사]|a one-room apartment [명사]
주택 [명사]|a house [명사]
하숙집 [명사]|a boarding/homestay house [명사]
거실 [명사]|a living room [명사]
부엌 [명사]|a kitchen [명사]
샤워실 [명사]|a shower stall [명사]
가구 [명사]|furniture [명사]
싱크대 [명사]|a sink [명사]
옷장 [명사]|a wardrobe [명사]
침대 [명사]|a bed [명사]
가스가 들어와요 [동사]|the gas works (now) [동사]
난방이 되다 [동사]|to have heating [동사]
물이 나오다 [동사]|to have water [동사]
물이 내려가다 [동사]|to have the water drain [동사]
불이 들어와요 [동사]|the light works (now) [동사]
비가 새다 [동사]|to leak (when raining) [동사]
창문이 닫히다 [동사]|to be closed (window) [동사]
