tags: sogang sogang3 sogang3a sogang3a4 reading-speaking
검은색 [명사]|black color [명사]
흰색 [명사]|white color [명사]
대기실 [명사]|a waiting room [명사]
띠 [명사]|a band [명사]
와이셔츠 [명사]|a dress shirt [명사]
정장 [명사]|formal dress, a suit [명사]
주의하다 [동사]|to be careful [동사]
어둡다 [형용사]|to be dark, gloomy [형용사]
진하다 [형용사]|to be thick [형용사]
진하게 [부사]|thickly, too much (make-up) [부사]
말없이 [부사]|without a word [부사]
가까운 사이 [기타/표현]|a close relationship [기타/표현]
신경을 쓰다 [기타/표현]|to pay attention [기타/표현]
액세서리를 하다 [기타/표현]|to wear accessories [기타/표현]
