tags: sogang sogang3 sogang3a sogang3a4
결혼식 [명사]|a wedding [명사]
결혼식장 [명사]|a wedding hall [명사]
박수를 치다 [동사]|to clap (one’s hands) [동사]
봉투 [명사]|an envelope [명사]
부케를 던지다 [동사]|to throw the bouquet [동사]
(—이/가) 시집가다 [동사]|to get married (female only) [동사]
(—이/가) 장가가다 [동사]|to get married (male only) [동사]
신랑 [명사]|a bridegroom [명사]
신부 [명사]|a bride [명사]
축의금 [명사]|congratulatory money [명사]
피로연 [명사]|a reception [명사]
피로연장 [명사]|reception hall [명사]
장례식 [명사]|a funeral [명사]
장례식장 [명사]|a funeral parlor [명사]
빈소 [명사]|a room where a coffin or a portrait of the deceased is placed until the funeral day [명사]
영정 [명사]|a portrait [명사]
위로하다 [동사]|to console [동사]
절을하다 [동사]|to bow [동사]
조의금 [명사]|condolence money [명사]
향을 피우다 [동사]|to burn incense [동사]
방문하다 [동사]|to visit [동사]
손님을 맞다 [동사]|to receive a visitor [동사]
김 부장님을 뵈러 왔는데요 [기타/표현]|I came to see Mr. Kim, the manager. [기타/표현]
무슨 일로 오셨습니까? [기타/표현]| How can I help you? [기타/표현]
지금 자리에 안 계신데요 [기타/표현]|He's not in right now. [기타/표현]
뭐 마실 것 좀 드릴까요? [기타/표현]|Would you like something to drink? [기타/표현]
뭐 이런 걸 다 사 오셨어요? [기타/표현]|You didn't have to bring anything [기타/표현]
별거 아니에요 [기타/표현]|It’s nothing [기타/표현]
조심해서 가세요 [기타/표현]|Have a safe trip home, (Take care.) [기타/표현]
