tags: sogang sogang3 sogang3a sogang3a5 listening-speaking
드라이하다 [동사]|to dry (hair) [동사]
바르다 [동사]|to apply [동사]
무스를 바르다 [동사]|to apply mousse, to use mousse [동사]
잘생기다 [형용사]|to be good-looking [형용사]
얼굴이 잘 생기다 [형용사]|to have an attractive face [형용사]
대화가 통하다 [기타/표현]|to have good talks because of common interests [기타/표현]
안경을 끼다 [기타/표현]|to put on, to wear glasses [기타/표현]
얼마 전에 [기타/표현]|not long ago [기타/표현]
이성 친구 [기타/표현]|boyfriend/girlfriend (a romantic interest of the opposite sex) [기타/표현]
어떻게 알았어? [기타/표현]|How did you know that? [기타/표현]
외모에 얼마나 신경을 쓰는데 [기타/표현]|He/she cares a lot about his/her appearance [기타/표현]
