tags: sogang sogang3 sogang3a sogang3a5 reading-speaking
능력 [명사]|capability [명사]
능력이 있다 [형용사]|to be capable [형용사]
동호회 [명사]|an association of like- minded people [명사]
명함 [명사]|a business card, name card [명사]
(-이/가) 넘다 [동사]|to exceed [동사]
선택하다 [동사]|to select, choose [동사]
깊다 [형용사]|to be deep [형용사]
생각이 깊다 [형용사]|to be thoughtful and considerate [형용사]
생각을 깊게 하다 [형용사]|to think deeply [형용사]
다양하다 [형용사]|to be varied, diverse [형용사]
절대 [부사]|never, absolutely (not) [부사]
눈이 높다 [기타/표현]|to be too picky [기타/표현]
발이 넓다 [기타/표현]|to have a wide circle of acquaintances [기타/표현]
입이 무겁다 [기타/표현]|to be close lipped [기타/표현]
비밀을 지키다 [기타/표현]|to keep a secret [기타/표현]
