tags: sogang sogang3 sogang3a sogang3a5
외모 [명사]|appearance [명사]
인상 [명사]|an impression [명사]
첫인상 [명사]|first impression [명사]
단발머리 [명사]|bobbed hair [명사]
생머리 [명사]|straight hair [명사]
스포츠형 머리 [명사]|short hair [명사]
파마머리 [명사]|permed hair [명사]
갸름하다 [형용사]|to be small and longish, oval (used to describe faces) [형용사]
둥글다 [형용사]|to be round in shape [형용사]
날씬하다 [형용사]|to be slim [형용사]
뚱뚱하다 [형용사]|to be fat [형용사]
마르다 [형용사]|to be thin [형용사]
체격이 좋다 [형용사]|to have a good physique/build [형용사]
통통하다 [형용사]|to be chubby [형용사]
성격 [명사]]|character, personality [명사]
사교적이다 [형용사]|to be sociable [형용사]
솔직하다 [형용사]|to be frank, candid [형용사]
얌전하다 [형용사]|to be gentle, well-behaved, modest (usually used to describe females) [형용사]
유머 감각이 있다 [형용사]|to be humorous, to have a sense of humor [형용사]
이해심이 많다 [형용사]|to be very understanding [형용사]
적극적이다 [형용사]|to be active [형용사]
점잖다 [형용사]|to be gentle (usually used with males) [형용사]
활동적이다 [형용사]|to be active, energetic [형용사]
