tags: sogang sogang3 sogang3a sogang3a6 listening-speaking
기타 [명사]|etc [명사]
모델명 [명사]|model name [명사]
시기 [명사]|a time [명사]
구입 시기 [명사]|time of purchase [명사]
지역 [명사]|an area, region [명사]
구입하다 [동사]|to purchase, to buy [동사]
(-을/를) (-와/과) 연결하다 [동사]|to connect, to link [동사]
확인하다 [동사]|to confirm [동사]
가능하다 [형용사]|to be possible, to be feasible [형용사]
서비스 기사 [기타/표현]|a technician who fixes goods [기타/표현]
(-이/가) 저장되어 있다 [기타/표현]|to be saved [기타/표현]
그래 주셨으면 좋겠어요 [기타/표현]|If you could do that, it would be good (nice) [기타/표현]
어떻게 하지? [기타/표현]|What should I do? (showing exasperation) [기타/표현]
