tags: sogang sogang3 sogang3a sogang3a6 reading-speaking
기능 [명사]|function [명사]
두부 [명사]|tofu [명사]
디자인 [명사]|design [명사]
사실 [명사]|the truth [명사]
실수 [명사]|a mistake, error [명사]
실수로 [명사]|by mistake [명사]
안내서 [명사]|a guidebook, handbook [명사]
양 [명사]|quantity, amount, volume [명사]
양이 많다 [명사]|to be large in quantity [명사]
여성 [명사]|a female [명사]
콩나물 [명사]|bean sprouts [명사]
관람하다|to see (a performance, etc.) [동사]
(-이/가) 남다 [동사]|to be leftover [동사]
음식이 남다 [동사]|to have food leftover [동사]
무시하다 [동사]|to ignore, to disregard [동사]
올리다 [동사]|to upload [동사]
글 을 올리다 [동사]|to upload text [동사]
포장하다 [동사]|to pack, wrap [동사]
곤란하다 [형용사]|to be difficult, troublesome [형용사]
물에 빠뜨리다 [기타/표현]|to drop into the water [기타/표현]
예를 들면 [기타/표현]|for example [기타/표현]
오고 가다 [기타/표현]|to come and go [기타/표현]
(-이/가) 포장되어 있다 [기타/표현]|to be packed, to be wrapped [기타/표현]
할 수 없이 [기타/표현]|to be unavoidable [기타/표현]
