tags: sogang sogang3 sogang3a sogang3a6
기계 [명사]|machine [명사]
가전제품 [명사]|household electric appliances [명사]
복사기 [명사]|a copy machine [명사]
스캐너 [명사]|a scanner [명사]
콘센트 [명사]|an electrical outlet (for electricity) [명사]
콘센트에 꽂다  [동사]|to plug (something) in
파워 버튼 [명사]|the on/off button [명사]
플러그 [명사]|a plug [명사]
연결이 잘못되어 있다 [기타/표현]|to be improperly connected [기타/표현]
종이가 걸리다 [기타/표현]|to have a paper jam [기타/표현]
컴퓨터가 안 켜지다 [기타/표현]|to be not switched on (computer) [기타/표현]
토너가 떨어지다 [기타/표현]|to be out of toner [기타/표현]
고객 [명사]|a customer [명사]
고객 상담실 [명사]|customer inquiries center [명사]
상담원 [명사]|a consultant [명사]
무엇을 도와 드릴까요? [기타/표현]|How can I help you? [기타/표현]
연락 가능한 번호를 알려 주시겠습니까? [기타/표현]|Could I have your contact number, please? [기타/표현]
이름과 연락처를 남겨 주세요 [기타/표현]|Please leave your name and a contact address [기타/표현]
친절하게 모시겠습니다 [기타/표현]|I'm happy to be of assistance to you [기타/표현]
