tags: sogang sogang3 sogang3a sogang3a7 dialogues
보수 [명사]|payment, salary, wage [명사]
신문사 [명사]|a newspaper company [명사]
자격증 [명사]|a certification [명사]
자격증을 따다 [동사]|to obtain a certification [동사]
조언 [명사]|advice [명사]
조언을 듣다 [동사]|to seek advice, to get advice [동사]
격려하다 [동사]|to encourage [동사]
문의하다 [동사]|to make an inquiry [동사]
문의 전화 [명사]|a call of inquiry [명사]
(-이/가) 정해지다 [동사]|to be fixed [동사]
(-이/가) 진행되다 [동사]|to progress [동사]
보험 회사 [명사]|an insurance company [명사]
필요한 게 있으면 언제든지 말씀하세요 [기타/표현]|Just let me know if you need anything [기타/표현]
한스 씨라면 잘할 수 있을 거예요 [기타/표현]|You are capable so you can do it, Hans [기타/표현]
