tags: sogang sogang3 sogang3a sogang3a8 listening-speaking
미술관 [명사]|an art gallery [명사]
사은품 [명사]|a free gift, a promotional gift [명사]
산책로 [명사]|a promenade, a walk [명사]
선착순 [명사]|a first-come-first served basis [명사]
어린이 [명사]|a child, children [명사]
열차 [명사]|a train [명사]
예정 [명사]|a schedule [명사]
행사 [명사]|an event [명사]
보관하다 [동사]|to have custody of (something) [동사]
보호하다 [동사]|to look after (someone) [동사]
태어나다 [동사]|to be born  [동사]
(-이/가) 할인되다 [동사]|to be discounted [동사]
그림을 그리다 [동사]|to draw a picture [동사]
두고 가다 [기타/표현]|to put something somewhere and leave (intentionally or unintentionally) [기타/표현]
종합 안내소 [명사]|a general information center [명사]
이번 정류장에서 내리실 분은 벨을 눌러주시기 바랍니다 [기타/표현]|Please ring the bell to get off at this stop [기타/표현]
이역은 전동차와 승강장 사이가 넓습니다 [기타/표현]|There's a large gap between the train and the platform at this station [기타/표현]
