tags: sogang sogang3 sogang3a sogang3a8 reading-speaking
거스름돈 [명사]|(spare) change [명사]
관람 [명사]|seeing, viewing, looking [명사]
관람객 [명사]|a spectator [명사]
대여 [명사]|lending (of items) [명사]
대여료 [명사]|rent (an item) [명사]
대여하다 [동사]|to lend (an item) [동사]
대인 [명사]|adult [명사]
소인 [명사]|child [명사]
독서 [명사]|a close reading [명사]
매수 [명사]|the number of tickets [명사]
승차권 [명사]|a transportation ticket [명사]
신분증 [명사]|ID card [명사]
애완동물 [명사]|a pet [명사]
전날 [명사]|one day ahead [명사]
피해 [명사]|damage [명사]
피해를 주다 [동사]|to do damage
분리하다 [동사]|to separate [동사]
분리수거함 [명사]|a recycling container [명사]
행동하다 [동사]|to behave [동사]
구매 시 [기타/표현]|at the time of purchase [기타/표현]
매표 시간 [기타/표현]|box office hours (the time tickets are sold) [기타/표현]
영화 상영 [기타/표현]|movie showing [기타/표현]
휴대 전화는 전원을 꺼 주시거나 진동으로 해 주십시오 [기타/표현]|Please turn off your phone or put it-on vibrate [기타/표현]
