tags: sogang sogang3 sogang3a sogang3a8
우체국 [명사]|a post office [명사]
내용물 [명사]|contents [명사]
박스 [명사]|a box [명사]
소포 [명사]|a parcel, package [명사]
(을/를) (에) 올려 놓다 [동사]|to put (a thing) up on (something) [동사]
저울 [명사]|scale [명사]
배편 [명사]|surface mail (by ship) [명사]
항공편 [명사]|airmail (by air) [명사]
보통 우편 [명사]|ordinary mail [명사]
빠른 우편 [명사]|express mail [명사]
은행 [명사]|a bank [명사]
고지서 [명사]|a bill [명사]
금액 [명사]|an amount of money [명사]
번호표를 뽑다 [동사]|to take a number (ticket) [동사]
비밀 번호 [명사]|a PIN number [명사]
사용료 [명사]|fee for use [명사]
수수료 [명사]|a fee, service charge [명사]
수표 [명사]|a check [명사]
원화 [명사]|the Korean currency [명사]
통장 [명사]|a bankbook [명사]
현금 [명사]|cash [명사]
현금 카드 [명사]|a cash card [명사]
환율 [명사]|the exchange rate [명사]
환전 [명사]|exchange
출입국 관리 사무소 [명사]|an immigration office [명사]
서명하다 [동사]|to sign one’s name [동사]
연장하다 [동사]|to extend [동사]
인지 [명사]|a revenue stamp (in exchange for money) [명사]
재발급하다 [동사]|to reissue [동사]
