tags: sogang sogang3 sogang3b sogang3b1 dialogues
레스토랑 [명사]|a restaurant [명사]
성당 [명사]|Catholic Church [명사]
한우 [명사]|Korean beef [명사]
한우가 부드럽다 [기타/표현]|Korean beef is tender [기타/표현]
메다 [동사]|to carry [동사]
가방을 메다 [기타/표현]|to carry a bag [기타/표현]
조언하다 [동사]|to advise, counsel [동사]
(-이/가) (-보다) 낫다 [형용사]|to be better than [형용사]
부지런하다 [형용사]|to be diligent [형용사]
맛이 좋다 [기타/표현]|to taste good [기타/표현]
여러 군데 [기타/표현]|many places [기타/표현]
차가 밀리다 [기타/표현]|to be lined up (in traffic) [기타/표현]
향이 좋다 [기타/표현]|to smell good [기타/표현]
갔다 와서 보자 [기타/표현]|I will see you when you get back [기타/표현]
재미있게 놀다 와 [기타/표현]|Have fun/Have a good time [기타/표현]
