tags: sogang sogang3 sogang3a sogang3b1
날씨 [명사]|weather [명사]
바람이 강하다 [형용사]|to be very windy [형용사]
쌀쌀하다 [형용사]|to be chilly [형용사]
안개가 끼어 있다 [형용사]|to be foggy [형용사]
태풍이 오다 [기타/표현]|the typhoon is coming [기타/표현]
태풍이 지나갔다 [기타/표현]|the typhoon has passed [기타/표현]
햇빛이 강하다 [형용사]|to be very sunny [형용사]
흐리다 [형용사]|to be cloudy [형용사]
여행지 [명사]|travel destination [명사]
코스 [명사]|itinerary [명사]
풍경 [명사]|scenery [명사]
볼거리 [명사]|things to see [명사]
대나무 숲 [명사]|bamboo forest [명사]
동굴 [명사]|cave [명사]
어시장 [명사]|fresh fish market [명사]
해수욕장 [명사]|beach [명사]
호수 [명사]|lake [명사]
일기 예보 [명사]|weather report, weather forecast [명사]
최고 기온 [명사]|the high(est) temperature [명사]
최저 기온 [명사]|the low(est) temperature [명사]
