tags: sogang sogang3 sogang3a sogang3b2 listening-speaking
더위 [명사]|heat, hot weather [명사]
복날 [명사]|the dog days of summer (the hottest days of the summer) [명사]
초복 [명사]|the first dog day [명사]
중복 [명사]|the middle dog day [명사]
말복 [명사]|the final dog day [명사]
종류 [명사]|kind, sort [명사]
줄 [명사]|line [명사]
줄을 서다 [기타/표현]|to stand in line [기타/표현]
차례 [명사]|turn [명사]
힘이 생기다 [기타/표현]|to gain strength [기타/표현]
네? 뭐라고요? [기타/표현]|Huh? What (did you say)? [기타/표현]
닭이 다 떨어졌어요 [기타/표현]|we are all out of chicken [기타/표현]
아, 그렇군요 [기타/표현]|(Oh,) I see [기타/표현]
이야기 좀 하면서 기다리지요 [기타/표현]|Eh, we can just talk while we wait [기타/표현]
이제 우리 차례예요 [기타/표현]|it's our turn [기타/표현]
점심 시간이 다 됐네요 [기타/표현]|It’s time to eat lunch/It’s already lunchtime [기타/표현]
