tags: sogang sogang3 sogang3a sogang3b2
국수 [명사]|noodles [명사]
닭 칼국수 [명사]|chicken noodle soup (한식) [명사]
나물 [명사]|cooked and seasoned vegetables or uncooked vegetables [명사]
돌솥 비빔밥 [명사]|mixed rice and vegetables in a hot stone pot (한식) [명사]
콩나물 국밥 [명사]|bean sprout soup with rice (한식) [명사]
콩나물국 [명사]|bean sprout soup (한식) [명사]
전 [명사]|pan fried Korean dish (한식) [명사]
탕 [명사]|soup [명사]
갈비탕 [명사]|Galbi soup, beef soup (한식) [명사]
해물탕 [명사]|seafood soup (한식) [명사]
한정식 [명사]|a Korean traditional meal involving many side dishes [명사]
고추장 [명사]|red pepper paste [명사]
밀가루 [명사]|flour [명사]
파 [명사]|green onion [명사]
해물 [명사]|seafood [명사]
덜다 [동사]|to put in a smaller [동사]
비비다 [동사]|to mix [동사]
싸다 [동사]|to wrap (in lettuce etc) [동사]
상추에 싸다 [기타/표현]|to wrap in romaine lettuce [기타/표현]
찍다 [동사]|to dip (into a sauce) [동사]
양념간장에 찍다 [기타/표현]|16 dip into a mixed Sauce made from soy sauce and other ingredients [기타/표현]
돌이 먹다가 하나 죽어도 모를 만큼 맛있어요 [기타/표현]|It was so delicious that if two people were eating and one died the other wouldn't notice, (because it’s so good) [기타/표현]
뭐 드실래요? [기타/표현]|What would you like to eat? [기타/표현]
뭘로 만든 거예요? [기타/표현]|What is this made out of? [기타/표현]
아무거나 다 잘 먹어요 [기타/표현]|I can eat anything/ everything. [기타/표현]
좀 덜 맵게 해 주세요 [기타/표현]|Could you make it less spicy? [기타/표현]
