tags: sogang sogang3 sogang3b sogang3b3 dialogues
규칙적 [명사]|regular [명사]
발목 [명사]|an ankle [명사]
접수 [명사]|registration (at a hospital) [명사]
접수처 [명사]|registration desk [명사]
접수를 하다 [동사]|to register [동사]
접수를 받다 [동사]|to register someone [동사]
진찰 [명사]|medical check—up [명사]
진찰을 받다 [동사]|to get a medical check-up [동사]
처방 [명사]|a prescription [명사]
처방하다 [동사]|to prescribe [동사]
환자 [명사]|a patient [명사]
내려가다 [동사]|to go down [동사]
급하다 [형용사]|to be in a hurry [형용사]
급하게 먹다 [기타/표현]|to eat hurriedly [기타/표현]
차다 [형용사]|to be cold [형용사]
찬 음식 [명사]|cold food [명사]
렌즈를 끼다 [기타/표현]|to wear contact lenses [기타/표현]
약을 짓다 [기타/표현]|to make medicine [기타/표현]
많이 놀랐겠어요 [기타/표현]|You must have been very surprised [기타/표현]
어디 좀 봅시다 [기타/표현]|Let’s take a look [기타/표현]
