tags: sogang sogang3 sogang3b sogang3b3 listening-speaking
소화제 [명사]|digestive medicine [명사]
식후 [명사]|after a meal [명사]
약사 [명사]|a pharmacist [명사]
위 [명사]|stomach [명사]
위염 [명사]|gastritis [명사]
자극적 [명사]|stimulative [명사]
처방전 [명사]|a prescription [명사]
치료 [명사]|medical treatment [명사]
치료를 받다 [동사]|to get treatment [동사]
음식이 부드럽다 [형용사]|to be bland, mild, light (food) [형용사]
꾸준히 [부사]|steadily, constantly [부사]
3일치 [기타/표현]|three days of medicine [기타/표현]
뭐 잘못 드셨어요? [기타/표현]|Did you eat something bad? [기타/표현]
아이고 [기타/표현]|Oh my gosh! [기타/표현]
어떻게 오셨어요? [기타/표현]|What brings you here? [기타/표현]
지금 가 봐야겠어요 [기타/표현]|I have to go now [기타/표현]
