tags: sogang sogang3 sogang3b sogang3b3
안과 [명사]|ophthalmology Clinic [명사]
이비인후과 [명사]|ear, nose, throat (ENT) clinic [명사]
피부과 [명사]|dermatology clinic
증상 [명사]|a symptom [명사]
가스가 차다 [기타/표현]|to be full of gas [기타/표현]
눈이 충혈되다 [기타/표현]|to have bloodshot eyes [기타/표현]
두통이 심하다 [기타/표현]|to have a strong headache [기타/표현]
속이 답답하다 [기타/표현]|to have indigestion [기타/표현]
속이 쓰리다 [기타/표현]|to have an unsettled stomach (to have gastric pain) [기타/표현]
얼굴에 뭐가 나다 [기타/표현]|to break out in pimples [기타/표현]
곳물이 나다 [기타/표현]|to have a runny nose [기타/표현]
토하다 [동사]|to vomit [동사]
깁스를 하다 [동사]|to wear a cast [동사]
넘어지다 [동사]|to fall down [동사]
미끄러지다 [동사]|to slip, slide [동사]
발목을 삐다 [동사]|to twist an ankle [동사]
(-과/와) 부딪차다 [동사]| to hit [동사]
(-이/가) 부러지다 [동사]|to break [동사]
손을 불에 데다 [동사]|to get burned on the hand [동사]
손을 칼에 베다 [동사]|to get cut on the hand [동사]
어떻게 하다가 그랬어요? [기타/표현]|How did that happen?/What were you doing for that to happen? [기타/표현]
