tags: sogang sogang3 sogang3b sogang3b4 dialogues
기회 [명사]|opportunity [명사]
목록 [명사]|a list [명사]
지난번 [명사]|last time [명사]
할부 [명사]|(to pay in) installments [명사]
돌려주다 [동사]|to return, give back [동사]
적당하다 [형용사]|to be suitable [형용사]
버튼이 안 놀러지다 [기타/표현]|the button doesn't work [기타/표현]
빨래를 말리다 [기타/표현]|to dry laundry [기타/표현]
소음이 심해지다 [기타/표현]|to become noisy [기타/표현]
작동이 안 되다 [기타/표현]|to not work (to be broken) [기타/표현]
전원이 안 들어오다 [기타/표현]|to not turn on [기타/표현]
그럼, 이번 기회에 바꿀까요? [기타/표현]|Then, should we take this opportunity to change it? [기타/표현]
어, 전자 사전이 왜 이러지? [기타/표현]|Uh-oh, what's wrong with this electronic dictionary? [기타/표현]
