tags: sogang sogang3 sogang3b sogang3b4 listening-speaking
교환 [명사]|exchange [명사]
무이자 [명사]|no interest (loan, credit) [명사]
반품 [명사]|returning a product, article [명사]
벨트 [명사]|belt [명사]
색깔 [명사]|colour [명사]
지불 [명사]|payment [명사]
택배비 [명사]|delivery fee [명사]
품질 [명사]|quality [명사]
구입하다 [동사]|to purchase, to buy [동사]
믿다 [동사]|to trust [동사]
입금하다 [동사]|to deposit money, to send money (by wire transfer) [동사]
가능하다 [형용사]|to be possible [형용사]
불가능하다 [형용사]|to be impossible [형용사]
간단하다 [형용사]|to be simple [형용사]
가죽 재킷 [기타/표현]|leather jacket [기타/표현]
신용 카드 [명사]|credit card [명사]
뭐 하나 물어봐도 돼요? [기타/표현]|May I ask you something? [기타/표현]
뭔데요? [기타/표현]|What is it? [기타/표현]
