tags: sogang sogang3 sogang3b sogang3b4
TV 홈쇼핑 [명사]|television home shopping [명사]
대형 할인 매장 [명사]|wholesale discount store [명사]
벼룩시장 [명사]|flea market [명사]
인터넷 쇼핑몰 [명사]|internet shopping site [명사]
전자 상가 [명사]|electronics shopping mall [명사]
제품 [명사]|manufactured products, manufactured goods [명사]
신제품 [명사]|new product [명사]
전자 제품 [명사]|electronic goods (electronic home appliances) [명사]
면도기 [명사]|a razor [명사]
기능 [명사]|function [명사]
건조 기능 [명사]|dryer function (in a combination washer/ dryer) [명사]
녹음 기능 [명사]|recording function [명사]
반복 기능 [명사]|repeat function [명사]
음성 기능 [명사]|voice function [명사]
자동 응답 기능 [명사]|automatic answering function [명사]
취침 예약 기능 [명사]|sleep timer [명사]
계산은 어떻게 해 드릴까요? [기타/표현]|How would you like to pay? [기타/표현]
이게 요즘 제일 잘 나가요 [기타/표현]|That is selling very fast these days [기타/표현]
특별히 찾는 거 있으세요? [기타/표현]|Are you looking for something in particular? [기타/표현]
