tags: sogang sogang3 sogang3b sogang3b5 listening-speaking
금도끼 [명사]|golden axe [명사]
은도끼 [명사]|silver axe [명사]
쇠도끼 [명사]|iron axe [명사]
산속 [명사]|in the mountains [명사]
소식 [명사]|news [명사]
연못 [명사]|pond [명사]
옛날 [명사]|ancient time, old days [명사]
옛날 옛날에 [명사]|a long long time ago, once upon a time [명사]
옛날 이야기 [명사]|an old story, an old tale [명사]
욕심 [명사]|greed [명사]
욕심이 많다 [기타/표현]|to be greedy [기타/표현]
갖다 [동사]|to have [동사]
갖고 가다 [동사]|to take something and go [동사]
(-이/가) 나타나다 [동사]|to appear [동사]
용서하다 [동사]|to forgive [동사]
정직하다 [형용사]|to be honest [형용사]
엉엉 [부사]|a sound made when crying loudly [부사]
일부러 [부사]|on purpose [부사]
