tags: sogang sogang3 sogang3b sogang3b5 reading-speaking
남 [명사]|someone [명사]
뒷자리 [명사]|backseat (in a car) [명사]
쇼핑백 [명사]|shopping bag [명사]
하루하루 [명사]|day after day [명사]
갚다 [동사]|to repay [동사]
거절하다 [동사]|to refuse [동사]
발견하다 [동사]|to discover [동사]
변하다 [동사]|to change [동사]
신고하다 [동사]|to report [동사]
실패하다 [동사]|to fail [동사]
결국 [부사]|finally, in the end, eventually [부사]
당연히 [부사]|of course [부사]
만약 [부사]|what if, in the case of [부사]
고민에 빠지다 [기타/표현]|to fall into worry [기타/표현]
두고 내리다 [기타/표현]|to leave behind (in the car)
