tags: sogang sogang3 sogang3b sogang3b7 dialogues
떡볶이 [명사]|Spicy rice cake [명사]|Korean food
문구류 [명사]|stationary [명사]|
미용실 [명사]|hair salon [명사]|
시절 [명사]|time period [명사]|
유행 [명사]|trend [명사]|
(-이/가) 유행하다 [형용사]|to be trendy, to be popular [형용사]|
수제 [명사]|the main subject, the theme [명사]|
지사장 [명사]|branch manager [명사]|
진행하다 [동사]|to host (a talk show) [동사]|
국제 대학원 [기타/표현]|Graduate School of International Studies [기타/표현]|
꿈을 이루다 [기타/표현]|to realize one’s dream [기타/표현]|
방송 아카데미 [기타/표현]|broadcasting academy [기타/표현]|
볼일이 있다 [기타/표현]|to have something to do [기타/표현]|
해외 연수 [기타/표현]|overseas study and training [기타/표현]|
맞긴 한데... [기타/표현]|thats right, but... [기타/표현]|
이게 얼마 만이에요? [기타/표현]|How long has it been [기타/표현]|since we last met
