tags: sogang sogang4 sogang4a sogang4a2 dialogues
학습 [명]|studying, learning [명]
유형 [명]|type, pattern, category [명]
자세하게 [부]|in detail, specifically [부]
전체적으로 [기타/표현]|overall, in general [기타/표현]
해당되다 [동]|to apply, to pertain [동]
깊이 [부]|deeply [부]
머리 속으로 [기타/표현]|Soe in one’s head (without speaking) [기타/표현]
-을 두려워하다 [동]|to be afraid, to fear [동]
생각나는 대로 [기타/표현]|as (something) comes to mind [기타/표현]
틀리게 말하다 [기타/표현]|to misspeak [기타/표현]
홀수 [명]|odd number [명]
짝수 [명]|even number [명]
생각형 [명]|the type of person who think first and acts later [명]
행동형 [명]|the type of person who acts first and thinks later [명]
순서대로 [기타/표현]|in order, in sequence [기타/표현]
요약하다 [동]|to summarize [동]
줄거리 [명]|plot, synopsis, outline [명]
답답하다 [형]|to feel frustrated [형]
순차형 [명]|the type of person who does things in order [명]
전체형 [명]|the type of person who looks at the big picture first [명]
