tags: sogang sogang4 sogang4a sogang4a3 listening-speaking
길거리 [명]|street [명]
산적 [명]|Korean shish kebab [명]
(재료를) 꼬치에 끼우다 [기타/표현]|to put (ingredients) on a skewer [기타/표현]
구워 먹다 [기타/표현]|to grill (and eat), to roast [기타/표현]
궁증 떡볶이 (음식) [명]|palace-style stir-fried rice cake [명]
조선 시대 [명]|the Joseon period [명]
왕 [명]|king [명]
양반 [명]|Yangban, the upper class during the Joseon period [명]
뿐만 아니라 [기타/표현]|in addition [기타/표현]
끓이다 [동]|to boil (water or soup, for example) [명]
(사람들이) 신기해하다 [형]|(people) are amazed [형]
썰다 [동]|to chop, to cut (when cooking) [동]
어묵 [명]|fish cake [명]
삶은 계란 [명]|boiled egg [명]
(양념이) 걸쭉해지다 [동]|to thicken (when the seasoning is evenly distributed in a soup) [동]
참깨 [명]|sesame seeds [명]
고춧거루 [명]|red pepper powder [명]
