tags: sogang sogang4 sogang4a sogang4a3 reading-speaking
홍미롭다 [형]|interesting, engaging [형]
눈을 맞추다 [동]|to make eye contact [동]
그러므로 [부]|therefore, for that reason [부]
관심 분야 [명]|area of interest [명]
수집하다 [동]|to collect (items or information) [동]
설문 조사 [명]|a survey, a poll [명]
동영상 [명]|video [명]
서론 [명]|introduction (of a paper or presentation) [명]
분론 [명]|body (of a paper or presentation) [명]
결론 [명]|conclusion (of a paper or presentation) [명]
구성하다 [동]|to form, to make up, to organize [동]
유익하다 [형]|to be useful [형]
요약하다 [동]|to summarize [동]
강조하다 [동]|to emphasize [동]
또박또박 말하다 [기타/표현]|speak clearly and articulately, enunciate [기타/표현]
효과적으로 [기타/표현]|effectively [기타/표현]
시각 자료 [명]|visual aid (used in a presentation or lecture) [명]
불필요하다 [형]|to be unnecessary [형]
헛 기침 [명]|clearing one’s throat [명]
자연스럽다 [형]|natural, not awkward [형]
집중하다 [동]|to concentrate, to focus [동]
충분히 [부]|sufficiently, enough, fully [부]
