tags: sogang sogang4 sogang4a sogang4a3 reading-speaking
학자 [명]|scholar [명]
정치가 [명]|politician [명]
유학 [명]|‘Confucianism [명]
에 힘을 다하다 [기타/표현]|to devote one’s energy to, to dedicate oneself to [기타/표현]
제자 [명]|pupil, student, disciple [명]
발명 [명]|invention (of a new device) [명]
정치 [명]|politics [명]
경제 [명]|economy [명]
과학 [명]|science [명]
예술 [명]|art [명]
모든 면에서 [기타/표현]|in every area, on every side [기타/표현]
업적을 남기다 [기타/표현]|to leave behind lasting achievements [기타/표현]
지폐 [명]|paper money, bill [명]
준경하다 [동]|to respect, to admire [동]
인물 [명]|character, historical figure [명]
공통점 [명]|something in common [명]
학문 [명]|learning, one’s studies [명]
연구하다 [동]|to research, to study [동]
의복 문화 [명]|traditional attire (literally, “clothing culture”) [명]
신분 [명]|one’s social status [명]
역할 [명]|role, part [명]
관리 [먕]|bureaucrat, government official [명]
숨은 그림 [명]|hidden picture [명]
반짝이다 [형]|to glitter, to sparkle [형]
숫자 [명]|number [명]
태극 무늬 [명]|Taegeuk pattern (the circular object in the center of the Korean flag) [명]
빛에 비추다 [동]|to shine a light on [동]
돈을 들어서 비춰 보세요 [기타/표현]|Try holding the bill up to the light [기타/표현]
위조 지폐 [명]|counterfeit currency [명]
방지하다 [동]|to prevent, to stop (something from happening) [동]
