tags: sogang sogang4 sogang4a sogang4a8 listening-speaking
잠이 안 깨다 [기타/표현]|to be groggy [기타/표현]|in the morning
아령 [명]|dumbbell [명]|
기대했던 것 이상으로 좋았어 [기타/표현]|It was even better than I had expected [기타/표현]|
운동이 되다 [기타/표현]|it serves as exercise [기타/표현]|
알람이 울리다 [기타/표현]|the alarm goes off [기타/표현]|
회 [명]|times, repetitions [명]|
그런 게 있어? [기타/표현]|I hadn't heard of that before [기타/표현]|literally: “Is there such a thing?”
길이 [명]|length [명]|
무게 [명]|weight [명]|
킬로그램 [명]|kilogram [명]|
잠이 깨다 [기타/표현]|to wake up [기타/표현]|
열쇠 고리 [명]|key chain [명]|
콘센트 [명]|power outlet [명]|
플러그 [명]|plug [명]|
꽂다 [동]|to plug (in) [동]|
보관하다 [동]|to store, keep [동]|
빼다 [동]|to pull out, to remove, to take out [동]|
케이블 [명]|cable [명]|
손/발이 시리다 [기타/표현]|one’s hands or feet are cold [기타/표현]|
고생하다 [동]|to have a hard time, to suffer [동]|
