tags: sogang sogang4 sogang4b sogang4b6 listening-speaking
숙박시설 [명]|accommodations [명]|a place to stay
펜션 [명]|a bed and breakfast [명]|an inexpensive hotel
콘도 [명]|a condo [명]|
게스트 하우스 [명]|a guesthouse [명]|
민박 [명]|a spare room [명]|or cottage rented out to travelers
배낭 여행객 [명]|a backpacker [명]|a traveler who is backpacking *
길가 [명]|roadside, wayside [명]|
소음 [명]|noise, unpleasant sound [명]|
심하다 [형]|to be severe, to be serious [형]|
(손님이) 차다 [기타/표현]|there are no more rooms [기타/표현]|there is no vacancy (at a lodging)
(방이) 비다 [기타/표현]|(a room) is empty or vacant [기타/표현]|
체크 아웃을 하다 [기타/표현]|to check out (of a room) [기타/표현]|
요금 [명]|price, cost [명]|
문화센터 [명]|cultural center [명]|
주민센터 [명]|local government office [명]|literally, “resident center”
인원 [명]|number of people [명]|
모집 [명]|recruitment [명]|
헛걸음하다 [동]|to waste a trip [동]|go somewhere in vain
