tags: sogang sogang4 sogang4b sogang4b8 listening-speaking
아리랑 [기타/표현]|Arirang [기타/표현]|a traditional Korean song
잔잔하다 [형]|to be calm, to be still [형]|
흥겹다 [형]|to be joyful [형]|to be merry
웅장하다 [형]|to be magnificent [형]|
멜로디 [명]|a melody [명]|
전해 내려오다 [기타/표현]|to pass down (orally) [기타/표현]|to hand down (from long ago)
민요 [명]|a folk song [명]|
험하다 [형]|to be rough [형]|
농사를 짓다 [기타/표현]|to farm [기타/표현]|
가난하다 [형]|to be poor [형]|to be needy
쌀 [명|(uncooked) rice [명]|
어업 [명]|the fishing industry [명]|
여유롭다 [형]|to have plenty [형]|(of time or money), to be well-off
발달하다 [동]|to develop [동]|
템포가 빠르다 [기타/표현]|the tempo is fast [기타/표현]|
비교하다 [동]|to compare [동]|
