tags: sogang sogang5 sogang5a sogang5a7 reading-speaking
그라운드 [명]|field (ground) [명]|for soccer etc
분석 [명]|analysis [명]|
비중 [명]|(relative) importance [명]|
성과 [명]|result, product [명]|fruit (of labour)
스스로 [명]|by oneself [명]|
요인 [명]|factor, main cause [명]|
장애 [명]|obstacle [명]|
직관 [명]|intuition [명]|
필자 [명]|write, author [명]|
활용 [명]|to take advantage of [명]|to make good use of
(-을) 기울이다 (causative: 기울다) [동]|to tilt [동]|
(-에) 몰입하다 [동]|to immerse (oneself) in [동]|
(-에 -을) 묻다 [동]|to bury [동]|
(-을) 발휘하다 [동]|to display [동]|to demonstrate (e.g. one's ability)
(-을 -으로) 삼다 [동]|to make (into) [동]|
(-을) 악물다 [동]|to clench [동]|
(-으려고) 애쓰다 [동]|to try, endeavour [동]|
낯설다 [형]|to be unfamiliar [형]|
엄청나다 [형]|to be excessive [형]|
이를 악물다 [기타/표현]|to clench one's teeth [기타/표현]|
직업으로 삼다 [기타/표현]|to turn into a profession [기타/표현]|
뼈를 묻겠다는 각오로 [기타/표현]|with the determined heart to put one's life on the line [기타/표현]|
귀를 기울이다 [기타/표현]|to listen intently [기타/표현]|
장애 요인 [기타/표현]|main obstacle [기타/표현]|
비중을 두다 [기타/표현]|to consider important [기타/표현]|
